N,D,C_flop,loss,tokens_per_param,source
632224418.5008065,7340337614.699107,2.784444408031644e+19,2.736778556603052,11.610335507295412,Hoffmann2022_reconstructed_Besiroglu2024
632224418.5008065,15065701053.498478,5.714942452713038e+19,2.628284835801397,23.829672838679294,Hoffmann2022_reconstructed_Besiroglu2024
632224418.5008065,7339807939.215274,2.7842434837667877e+19,2.736778556603052,11.609497710670775,Hoffmann2022_reconstructed_Besiroglu2024
632224717.3687463,28814882565.71395,1.093048859167327e+20,2.546878120316004,45.576963022955674,Hoffmann2022_reconstructed_Besiroglu2024
632225315.1050493,143561064439.37482,5.445776352120002e+20,2.445912595343321,227.0726290286573,Hoffmann2022_reconstructed_Besiroglu2024
663957062.9504797,6872663606.136138,2.737892125546082e+19,2.7449912897159163,10.35106634094007,Hoffmann2022_reconstructed_Besiroglu2024
663957219.884829,13754193293.158922,5.479317564410615e+19,2.628284835801397,20.71548118046633,Hoffmann2022_reconstructed_Besiroglu2024
663958004.5571333,55027539277.10241,2.192158510446852e+20,2.475404538069587,82.87804183309204,Hoffmann2022_reconstructed_Besiroglu2024
724283353.8088524,14476400569.264822,6.291009573232504e+19,2.616495387341047,19.9872059645393,Hoffmann2022_reconstructed_Besiroglu2024
724283353.8088524,7536416536.360542,3.2751006267934257e+19,2.724508563490356,10.405342738761187,Hoffmann2022_reconstructed_Besiroglu2024
724283696.1953005,29176887419.464924,1.2679406318186529e+20,2.5240864505424114,40.28378323677948,Hoffmann2022_reconstructed_Besiroglu2024
816341492.834805,1897148783.2111337,9.292327618897865e+18,3.048504933511402,2.323964664129894,Hoffmann2022_reconstructed_Besiroglu2024
816341685.7870721,11397299910.773767,5.582454613549142e+19,2.628284835801397,13.961433195445744,Hoffmann2022_reconstructed_Besiroglu2024
816341685.7870721,19221023755.515324,9.414553761078442e+19,2.566031188935832,23.545316979597168,Hoffmann2022_reconstructed_Besiroglu2024
816342071.6917455,7516493548.855796,3.681617949318348e+19,2.704172606664561,9.207529306040787,Hoffmann2022_reconstructed_Besiroglu2024
816342071.6917455,5764842671.789718,2.823650165799477e+19,2.7697776574701383,7.0617978316895424,Hoffmann2022_reconstructed_Besiroglu2024
816342071.6917455,15065441056.750458,7.379132017930528e+19,2.5969714788717795,18.454813955049026,Hoffmann2022_reconstructed_Besiroglu2024
816342264.6441513,27787007820.704086,1.3610225335222991e+20,2.5052520841348382,34.03842851725509,Hoffmann2022_reconstructed_Besiroglu2024
816343229.4068599,60290052937.354164,2.953042590959414e+20,2.445912595343321,73.8538040931139,Hoffmann2022_reconstructed_Besiroglu2024
816343229.4068599,57352691039.80514,2.809168861116504e+20,2.434941196776266,70.25560937337174,Hoffmann2022_reconstructed_Besiroglu2024
816343229.4068599,112231274890.36118,5.497154483066788e+20,2.398733033445379,137.48049943637847,Hoffmann2022_reconstructed_Besiroglu2024
892666348.4849818,8189946961.222602,4.386534028896152e+19,2.6719551236587806,9.174701135673414,Hoffmann2022_reconstructed_Besiroglu2024
892666348.4849818,15582386543.217754,8.345923257729427e+19,2.577587469373751,17.456003096413255,Hoffmann2022_reconstructed_Besiroglu2024
892666559.47756,32716355444.843693,1.7522877872156135e+20,2.486552675770553,36.65014119492859,Hoffmann2022_reconstructed_Besiroglu2024
1017958924.6402752,1574709382.8902533,9.617936820167483e+18,3.07143034313885,1.5469282156416297,Hoffmann2022_reconstructed_Besiroglu2024
1017959165.2472816,15780892969.622223,9.638582780528e+19,2.546878120316004,15.502481345397333,Hoffmann2022_reconstructed_Besiroglu2024
1017959646.461467,8779250552.488708,5.362153673164827e+19,2.628284835801397,8.624360094239778,Hoffmann2022_reconstructed_Besiroglu2024
1017959646.461467,7730405278.343631,4.721544374487925e+19,2.6719551236587806,7.594019375144505,Hoffmann2022_reconstructed_Besiroglu2024
1017959646.461467,4732512885.643323,2.8905042863662887e+19,2.7449912897159163,4.649018163042147,Hoffmann2022_reconstructed_Besiroglu2024
